NAICS,IndustryCode,Description
0,0,Missing
11,1,"Agriculture, forestry, fishing and hunting"
21,2,"Mining, quarrying, and oil and gas extraction"
22,3,Utilities
23,4,Construction
31,5,Manufacturing
32,5,Manufacturing
33,5,Manufacturing
42,6,Wholesale trade
44,7,Retail trade
45,7,Retail trade
48,8,Transportation and warehousing
49,8,Transportation and warehousing
51,9,Information
52,10,Finance and insurance
53,11,Real estate and rental and leasing
54,12,"Professional, scientific, and technical services"
55,13,Management of companies and enterprises
56,14,Administrative and support and waste management and remediation services
61,15,Educational services
62,16,Health care and social assistance
71,17,"Arts, entertainment, and recreation"
72,18,Accommodation and food services
81,19,Other services (except public administration)
92,20,Public administration
