,LoanNr_ChkDgt,Name,City,State,Zip,Bank,BankState,NAICS,ApprovalDate,ApprovalFY,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,ChgOffDate,DisbursementDate,DisbursementGross,BalanceGross,ChgOffPrinGr,GrAppv,SBA_Appv,ChgOffHist,MIS_Status
659726,6662444005,HELLING'S FOODS INC,STAPLES,MN,56479,FIRST INTERNATL BK & TR,MN,445110,8-Sep-03,2003,85,17,1.0,5,17,1,1,0,N,31-Jul-12,31-Jan-04,"$215,000.00 ",$0.00 ,"$165,817.00 ","$215,000.00 ","$107,500.00 ",False,CHGOFF
391663,3774474004,WESTERN INN,TONKAWA,OK,74653,BANCFIRST,OK,721110,5-Jun-00,2000,163,3,1.0,0,0,1,1,N,N,,31-Jul-00,"$379,000.00 ",$0.00 ,$0.00 ,"$450,000.00 ","$337,500.00 ",False,P I F
204414,2441645000,Specialized Critical Analysis,Vista,CA,92084,CALIFORNIA BANK & TRUST,CA,541350,8-May-07,2007,60,1,1.0,0,1,0,1,Y,N,1-Jun-10,30-Jun-07,"$61,484.00 ",$0.00 ,"$22,968.00 ","$30,000.00 ","$15,000.00 ",False,CHGOFF
255522,2793876010,CORDON SELECTIONS INC,SEATTLE,WA,98134,UPS CAPITAL BUSINESS CREDIT,CT,424820,11-May-07,2007,99,19,1.0,2,19,1,1,0,N,,30-Jun-07,"$525,000.00 ",$0.00 ,$0.00 ,"$525,000.00 ","$393,750.00 ",False,P I F
149982,2095415008,Kriscor Corporation,PALATINE,IL,60067,JPMORGAN CHASE BANK NATL ASSOC,IL,623110,30-Oct-06,2007,121,70,1.0,30,70,0,1,T,N,17-May-12,31-Oct-06,"$176,684.00 ",$0.00 ,"$37,844.00 ","$50,000.00 ","$25,000.00 ",False,CHGOFF
864400,9312813006,"CONTRACT EMBROIDERY SRCS., INC",DUNCANSVILLE,PA,16635,FIRST COMMONWEALTH BANK,PA,313222,30-May-96,1996,15,11,1.0,0,0,1,0,N,N,2-Jul-02,31-Jul-96,"$154,000.00 ",$0.00 ,$0.00 ,"$154,000.00 ","$115,500.00 ",False,CHGOFF
51235,1393784000,QUALITY DELI MART INC.,NEW HAVEN,CT,6512,WELLS FARGO BANK NATL ASSOC,SD,0,1-Jul-97,1997,61,7,2.0,0,0,1,0,0,N,,31-Oct-97,"$195,000.00 ",$0.00 ,$0.00 ,"$195,000.00 ","$146,250.00 ",False,P I F
819259,8784804003,SUPERIOR COATINGS AND SEALANTS,MEMPHIS,TN,38114,"TRUST ONE BANK, A DIVISION OF",TN,238320,13-Apr-05,2005,38,85,1.0,0,0,1,0,T,N,31-May-11,31-Jul-05,"$390,105.00 ",$0.00 ,"$181,333.00 ","$200,000.00 ","$150,000.00 ",False,CHGOFF
52942,1406164002,MAC'S MARKET,OROVILLE,CA,95965,BANK OF THE WEST,CA,0,9-Jul-97,1997,235,5,1.0,0,0,1,0,0,N,26-Feb-03,31-Dec-97,"$234,000.00 ",$0.00 ,"$85,467.00 ","$245,000.00 ","$183,750.00 ",False,CHGOFF
304371,3101335010,CHAMPION TOOLS L.L.C,SALT LAKE CITY,UT,84118,ZIONS FIRST NATIONAL BANK,UT,444130,22-May-08,2008,84,2,2.0,1,1,0,1,N,N,16-Aug-11,30-Jun-08,"$91,000.00 ",$0.00 ,"$78,061.00 ","$91,000.00 ","$77,350.00 ",False,CHGOFF
21939,1162725003,"THE IRWIN GROUP, LLC",SCHERERVILLE,IN,46375,CAPITAL ONE NATL ASSOC,VA,541613,21-Jan-05,2005,84,2,1.0,0,2,1,1,N,N,30-Mar-12,28-Feb-05,"$25,000.00 ",$0.00 ,"$2,806.00 ","$25,000.00 ","$12,500.00 ",False,CHGOFF
297702,3059275000,Antonio Rangel,PHOENIX,AZ,85017,JPMORGAN CHASE BANK NATL ASSOC,IL,238310,22-Apr-08,2008,36,4,1.0,0,4,0,1,Y,N,14-Jun-12,31-May-08,"$45,600.00 ",$0.00 ,"$28,443.00 ","$30,400.00 ","$15,200.00 ",False,CHGOFF
1099,1007544001,HEALTHY APPETITES FOR HEALTHY,BRIDGEPORT,WV,26330,HARRISON COUNTY BANK,WV,0,4-Mar-97,1997,147,20,2.0,0,0,1,0,N,N,,30-Sep-98,"$218,500.00 ",$0.00 ,$0.00 ,"$510,000.00 ","$382,500.00 ",False,P I F
399270,3849044010,INTER CITY DELIVERY,SALT LAKE CITY,UT,84101,ZIONS FIRST NATIONAL BANK,UT,484110,20-Jul-00,2000,48,25,1.0,0,25,1,1,Y,N,29-Mar-06,31-Aug-00,"$156,027.00 ",$0.00 ,"$114,213.00 ","$150,000.00 ","$75,000.00 ",False,CHGOFF
230653,2630916004,NIGHTINGALE GALLERY INC,WATERMILL,NY,11976,SUFFOLK CNTY NATL BK OF RIVER,NY,453920,18-Jan-07,2007,70,1,1.0,1,1,1,1,Y,N,,31-Mar-07,"$38,632.00 ",$0.00 ,$0.00 ,"$15,000.00 ","$7,500.00 ",False,P I F
355021,3472594010,THOMAS J FENTON CONTRACTOR,FLORENCE,MA,1062,FLORENCE SAVINGS BANK,MA,235930,15-Dec-99,2000,50,1,1.0,0,0,1,1,N,N,,31-Dec-99,"$6,000.00 ",$0.00 ,$0.00 ,"$6,000.00 ","$4,800.00 ",False,P I F
